,name,symbol,currentPrice,r,s,m,v,PE,revenueGrowth,operatingCashflow,freeCashflow,marketValue
0,遠東新,1402.TW,28.95,3.4870457231280456e-05,24.679994204870187,3.218408542273796e-05,0.020774531793782063,20.40366628162728,-0.086,49744154624,20348858368,154943290368.0
0,新纖,1409.TW,15.3,4.857538079672326e-05,9.733594499131993,6.736417822987412e-05,0.021793479855707284,11.459720512902447,-0.199,2053602048,5740990464,24690069734.4
0,南染,1410.TW,37.7,-8.718000525252764e-05,23.539453508146803,-6.674366158509242e-05,0.01959625363380669,32.198830459064,-0.502,89010000,-8400500,2375100000.0
0,宏洲,1413.TW,8.08,-0.00022602808297043702,9.358378337229187,-0.00021038555178356805,0.024629988290746207,-14.799680989383042,-0.495,18071000,31734500,1067464960.0
0,東和,1414.TW,17.6,2.147092327758922e-05,8.071387686153646,3.934160494953667e-05,0.02443099726915059,40.3804214516207,-0.316,-16728000,-91873624,3872000000.0000005
0,廣豐,1416.TW,10.4,-0.00013475338593230566,17.12174413370475,-0.00011535754044666535,0.02268726497655815,50.30518373069361,-0.179,133689000,116390752,1927556800.0
0,嘉裕,1417.TW,12.0,-8.538220286768304e-05,13.643406440980296,-5.8329123804168384e-05,0.021807280631878267,-54.53216993804715,0.222,567049984,473471360,2279304000.0
0,東華,1418.TW,22.7,1.817147064915057e-05,8.77238603543416,6.0259565689220144e-05,0.028207616460517056,20.423114199095828,-0.29,-111519000,-77246752,1232632700.0
0,新紡,1419.TW,43.35,0.00011463763442943562,30.607469860469152,0.00013470001979513186,0.019196463843761353,14.803643273753597,-0.043,231212000,379647488,12971923603.2
0,利華,1423.TW,32.9166,0.00013174508164703525,14.374646622288276,0.00015497293584366574,0.01800448159716685,23.615008146280918,-0.381,173768992,-9589500,3280073356.8
0,大魯閣,1432.TW,15.6,-0.0004914651377920997,52.48336863773757,-0.00047539805112429916,0.03108326396556658,75.446927457741,0.442,510259008,281671008,1404000000.0
0,福懋,1434.TW,25.3,6.031932683277321e-05,24.695730667619625,9.331759764982536e-05,0.01542731076612629,30.508941101653047,-0.221,5501564928,4144089088,42566491404.8
0,中福,1435.TW,37.45,0.0001892884772722716,10.483587068235716,0.00021086047786464385,0.022594044943088042,-2.933451628110102,-0.379,-45738000,-30171750,5234761000.0
0,華友聯,1436.TW,65.3,0.00013452779718546294,31.28599668592467,0.00015263188366382882,0.01665693750619704,7.996669363714059,-0.901,593971968,579842240,6352743411.2
0,勤益控,1437.TW,29.35,0.00011864449295301888,16.53020009880821,0.00012828949818928428,0.02090546064626134,6.9555033669448,-0.018,415771008,537348992,5968939084.8
