,symbol,name,foreign_invest,foreign_proprietor,invest_trust,proprietor,total
370,9942,茂順            ,"72,000",0,0,"-1,000","71,000"
371,3605,宏致            ,"71,000",0,0,0,"71,000"
372,9940,信義            ,"67,000",0,0,"1,053","68,053"
373,3308,聯德            ,"67,000",0,0,0,"67,000"
374,1528,恩德            ,"66,000",0,0,102,"66,102"
375,6579,研揚            ,"62,000",0,0,"4,056","66,056"
376,6283,淳安            ,"68,000",0,0,"-2,000","66,000"
377,2441,超豐            ,"65,000",0,"-6,472","6,931","65,459"
378,1752,南光            ,"65,000",0,0,0,"65,000"
379,8215,明基材          ,"34,000",0,0,"31,000","65,000"
380,2471,資通            ,"66,000",0,0,"-1,193","64,807"
381,3092,鴻碩            ,"64,000",0,0,0,"64,000"
382,1529,樂事綠能        ,"62,000",0,0,243,"62,243"
383,2364,倫飛            ,"61,000",0,0,0,"61,000"
384,6689,伊雲谷          ,"63,000",0,0,"-2,024","60,976"
385,1517,利奇            ,"61,000",0,0,-422,"60,578"
386,6691,洋基工程        ,"53,552",0,0,"6,741","60,293"
387,3296,勝德            ,"59,000",0,0,0,"59,000"
388,2443,昶虹            ,"59,000",0,0,0,"59,000"
389,4927,泰鼎-KY         ,"57,000",0,0,"1,985","58,985"
390,00917,中信特選金融    ,"4,000",0,0,"54,376","58,376"
391,00661,元大日經225     ,"-8,010",0,0,"66,332","58,322"
392,2486,一詮            ,"56,000",0,0,"2,322","58,322"
393,1734,杏輝            ,"57,000",0,0,"1,000","58,000"
394,4912,聯德控股-KY     ,"58,000",0,0,0,"58,000"
395,6201,亞弘電          ,"20,000",0,0,"37,000","57,000"
396,2038,海光            ,"57,000",0,0,0,"57,000"
397,2612,中航            ,"56,000",0,0,42,"56,042"
398,1701,中化            ,"50,000",0,0,"6,000","56,000"
399,4989,榮科            ,"57,000",0,0,"-1,000","56,000"
400,00730,富邦臺灣優質高息,"-44,000",0,0,"100,000","56,000"
401,2419,仲琦            ,"50,000",0,0,"5,998","55,998"
402,2427,三商電          ,"56,000",0,0,"-1,000","55,000"
403,5285,界霖            ,"55,000",0,0,0,"55,000"
404,3049,精金            ,"53,000",0,0,"1,882","54,882"
405,2328,廣宇            ,"3,000",0,0,"50,926","53,926"
406,6288,聯嘉            ,"53,000",0,0,-585,"52,415"
407,8222,寶一            ,"52,000",0,0,0,"52,000"
408,2413,環科            ,"52,000",0,0,0,"52,000"
409,2374,佳能            ,"50,000",0,0,"1,045","51,045"
410,3494,誠研            ,"51,000",0,0,0,"51,000"
411,6442,光聖            ,"51,000",0,0,-7,"50,993"
412,6226,光鼎            ,"52,000",0,0,"-2,000","50,000"
413,2545,皇翔            ,"49,000",0,0,"1,000","50,000"
414,1809,中釉            ,"50,000",0,0,0,"50,000"
415,6477,安集            ,"49,000",0,0,11,"49,011"
416,8070,長華*           ,"52,000",0,0,"-3,000","49,000"
417,2548,華固            ,"37,600",0,0,"11,000","48,600"
418,2010,春源            ,"47,000",0,0,"1,000","48,000"
419,6166,凌華            ,"41,000",0,0,"6,611","47,611"
420,1737,臺鹽            ,"46,000",0,0,0,"46,000"
421,00717,富邦美國特別股  ,"30,000",0,0,"15,000","45,000"
422,8039,台虹            ,"45,000",0,0,0,"45,000"
423,4916,事欣科          ,"45,000",0,0,0,"45,000"
424,8114,振樺電          ,"48,000",0,0,"-3,017","44,983"
425,3518,柏騰            ,"44,000",0,0,0,"44,000"
426,4552,力達-KY         ,"44,000",0,0,0,"44,000"
427,4968,立積            ,"-212,995",0,0,"256,586","43,591"
428,4306,炎洲            ,"42,000",0,0,"1,000","43,000"
429,8404,百和興業-KY     ,"36,000",0,0,"6,776","42,776"
430,9937,全國            ,"41,000",0,0,"1,000","42,000"
431,4935,茂林-KY         ,"45,000",0,0,"-3,000","42,000"
432,2536,宏普            ,"43,000",0,0,"-1,000","42,000"
433,3058,立德            ,"41,000",0,0,0,"41,000"
434,00657,國泰日經225     ,"90,000",0,0,"-49,122","40,878"
435,6196,帆宣            ,"-87,264",0,0,"127,735","40,471"
436,9910,豐泰            ,"58,792",0,"-20,000","1,621","40,413"
437,6756,威鋒電子        ,"33,000",0,0,"7,040","40,040"
438,00852L,國泰美國道瓊正2 ,0,0,0,"40,000","40,000"
439,2908,特力            ,"39,000",0,0,"1,000","40,000"
440,1459,聯發            ,"38,870",0,0,"1,000","39,870"
