,Unnamed: 0,代號,股票名稱,上市日,市場別,產業別
609,611,3557,嘉威,2008-02-27,上市,其他業
610,612,3563,牧德,2019-04-02,上市,光電業
611,613,3576,聯合再生,2009-01-12,上市,光電業
612,614,3583,辛耘,2013-03-12,上市,半導體業
613,615,3588,通嘉,2009-08-14,上市,半導體業
614,616,3591,艾笛森,2010-11-12,上市,光電業
615,617,3592,瑞鼎,2022-01-07,上市,半導體業
616,618,3593,力銘,2009-03-16,上市,電子零組件業
617,619,3596,智易,2009-03-11,上市,通信網路業
618,620,3605,宏致,2009-03-26,上市,電子零組件業
619,621,3607,谷崧,2009-10-28,上市,電子零組件業
620,622,3617,碩天,2009-12-23,上市,其他電子業
621,623,3622,洋華,2009-03-25,上市,光電業
622,624,3645,達邁,2011-10-05,上市,電子零組件業
623,625,3652,精聯,2022-09-21,上市,電腦及週邊設備業
624,626,3653,健策,2009-11-18,上市,電子零組件業
627,629,3669,圓展,2011-08-25,上市,通信網路業
629,631,3679,新至陞,2011-10-05,上市,電子零組件業
630,632,3682,亞太電,2013-08-05,上市,通信網路業
631,633,3686,達能,2010-07-20,上市,半導體業
632,634,3694,海華,2011-05-03,上市,通信網路業
633,635,3701,大眾控,2004-08-30,上市,電腦及週邊設備業
634,636,3702,大聯大,2005-11-09,上市,電子通路業
635,637,3703,欣陸,2010-04-08,上市,建材營造業
636,638,3704,合勤控,2010-08-16,上市,通信網路業
637,639,3705,永信,2011-01-03,上市,生技醫療業
638,640,3706,神達,2013-09-12,上市,電腦及週邊設備業
639,641,3708,上緯投控,2016-08-31,上市,化學工業
640,642,3711,日月光投控,2018-04-30,上市,半導體業
641,643,3712,永崴投控,2018-10-01,上市,電腦及週邊設備業
642,644,3714,富采,2021-01-06,上市,光電業
643,645,3715,定穎投控,2022-08-25,上市,電子零組件業
644,646,4104,佳醫,2007-12-31,上市,生技醫療業
645,647,4106,雃博,2004-11-08,上市,生技醫療業
646,648,4108,懷特,2008-07-16,上市,生技醫療業
647,649,4119,旭富,2004-01-07,上市,生技醫療業
648,650,4133,亞諾法,2009-12-28,上市,生技醫療業
650,652,4142,國光生,2012-05-03,上市,生技醫療業
652,654,4155,訊映,2017-12-05,上市,生技醫療業
653,655,4164,承業醫,2012-10-24,上市,生技醫療業
655,657,4306,炎洲,2008-01-21,上市,塑膠工業
656,658,4414,如興,2004-09-06,上市,紡織纖維
657,659,4426,利勤,2011-12-16,上市,紡織纖維
658,660,4438,廣越,2016-10-18,上市,紡織纖維
660,662,4440,宜新實業,2021-10-25,上市,紡織纖維
661,663,4526,東台,2003-09-15,上市,電機機械
662,664,4532,瑞智,2003-08-04,上市,電機機械
663,665,4536,拓凱,2013-10-09,上市,其他業
664,666,4540,全球傳動,2018-08-15,上市,電機機械
665,667,4545,銘鈺,2016-01-06,上市,電子零組件業
666,668,4551,智伸科,2015-08-10,上市,汽車工業
668,670,4555,氣立,2015-10-27,上市,電機機械
671,673,4562,穎漢,2017-08-21,上市,電機機械
672,674,4564,元翎,2019-03-07,上市,電機機械
673,675,4566,時碩工業,2018-02-05,上市,電機機械
675,677,4572,駐龍,2019-09-10,上市,電機機械
676,678,4576,大銀微系統,2019-09-04,上市,電機機械
678,680,4583,台灣精銳,2022-05-09,上市,電機機械
679,681,4720,德淵,2015-06-24,上市,化學工業
680,682,4722,國精化,2012-08-15,上市,化學工業
681,683,4737,華廣,2010-12-23,上市,生技醫療業
682,684,4739,康普,2017-09-08,上市,化學工業
683,685,4746,台耀,2011-03-01,上市,生技醫療業
684,686,4755,三福化,2013-11-27,上市,化學工業
686,688,4764,雙鍵,2018-01-04,上市,化學工業
687,689,4766,南寶,2018-11-28,上市,化學工業
688,690,4770,上品,2021-12-22,上市,化學工業
690,692,4904,遠傳,2005-08-24,上市,通信網路業
691,693,4906,正文,2003-06-30,上市,通信網路業
693,695,4915,致伸,2012-10-05,上市,電子零組件業
694,696,4916,事欣科,2013-11-21,上市,電腦及週邊設備業
695,697,4919,新唐,2010-09-27,上市,半導體業
697,699,4930,燦星網,2010-06-21,上市,電器電纜
698,700,4934,太極,2010-03-10,上市,光電業
700,702,4938,和碩,2010-06-24,上市,電腦及週邊設備業
701,703,4942,嘉彰,2011-06-27,上市,光電業
703,705,4952,凌通,2011-11-01,上市,半導體業
